discipline,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Arts,1.0,0.14049586776859505,0.11428571428571428,0.0975609756097561,0.12903225806451613,0.1506849315068493,0.14893617021276595,0.1891891891891892,0.1956521739130435,0.16666666666666666,0.14285714285714285,0.2222222222222222,0.125,0.21794871794871795
Biology,0.14049586776859505,1.0,0.14049586776859505,0.19008264462809918,0.48760330578512395,0.45454545454545453,0.19008264462809918,0.2396694214876033,0.30578512396694213,0.2396694214876033,0.09090909090909091,0.1652892561983471,0.1322314049586777,0.5785123966942148
Biomedical Research,0.11428571428571428,0.14049586776859505,1.0,0.2926829268292683,0.24731182795698925,0.1780821917808219,0.10638297872340426,0.16216216216216217,0.10869565217391304,0.2222222222222222,0.3142857142857143,0.02857142857142857,0.11428571428571428,0.0641025641025641
Chemistry,0.0975609756097561,0.19008264462809918,0.2926829268292683,1.0,0.13978494623655913,0.2602739726027397,0.40425531914893614,0.0975609756097561,0.10869565217391304,0.5,0.5365853658536586,0.024390243902439025,0.0,0.08974358974358974
Clinical Medicine,0.12903225806451613,0.48760330578512395,0.24731182795698925,0.13978494623655913,1.0,0.3548387096774194,0.13978494623655913,0.1827956989247312,0.23655913978494625,0.25806451612903225,0.07526881720430108,0.17204301075268819,0.0967741935483871,0.44086021505376344
Earth and Space,0.1506849315068493,0.45454545454545453,0.1780821917808219,0.2602739726027397,0.3548387096774194,1.0,0.3013698630136986,0.3013698630136986,0.3150684931506849,0.3698630136986301,0.1506849315068493,0.2054794520547945,0.1506849315068493,0.44871794871794873
Engineering and Technology,0.14893617021276595,0.19008264462809918,0.10638297872340426,0.40425531914893614,0.13978494623655913,0.3013698630136986,1.0,0.23404255319148937,0.1702127659574468,0.48148148148148145,0.2765957446808511,0.2127659574468085,0.0851063829787234,0.21794871794871795
Health,0.1891891891891892,0.2396694214876033,0.16216216216216217,0.0975609756097561,0.1827956989247312,0.3013698630136986,0.23404255319148937,1.0,0.32608695652173914,0.2037037037037037,0.05405405405405406,0.35135135135135137,0.2972972972972973,0.358974358974359
Humanities,0.1956521739130435,0.30578512396694213,0.10869565217391304,0.10869565217391304,0.23655913978494625,0.3150684931506849,0.1702127659574468,0.32608695652173914,1.0,0.2777777777777778,0.06521739130434782,0.34782608695652173,0.17391304347826086,0.4230769230769231
Mathematics,0.16666666666666666,0.2396694214876033,0.2222222222222222,0.5,0.25806451612903225,0.3698630136986301,0.48148148148148145,0.2037037037037037,0.2777777777777778,1.0,0.35185185185185186,0.16666666666666666,0.1111111111111111,0.2564102564102564
Physics,0.14285714285714285,0.09090909090909091,0.3142857142857143,0.5365853658536586,0.07526881720430108,0.1506849315068493,0.2765957446808511,0.05405405405405406,0.06521739130434782,0.35185185185185186,1.0,0.0,0.03571428571428571,0.038461538461538464
Professional Fields,0.2222222222222222,0.1652892561983471,0.02857142857142857,0.024390243902439025,0.17204301075268819,0.2054794520547945,0.2127659574468085,0.35135135135135137,0.34782608695652173,0.16666666666666666,0.0,1.0,0.25925925925925924,0.2948717948717949
Psychology,0.125,0.1322314049586777,0.11428571428571428,0.0,0.0967741935483871,0.1506849315068493,0.0851063829787234,0.2972972972972973,0.17391304347826086,0.1111111111111111,0.03571428571428571,0.25925925925925924,1.0,0.1794871794871795
Social Sciences,0.21794871794871795,0.5785123966942148,0.0641025641025641,0.08974358974358974,0.44086021505376344,0.44871794871794873,0.21794871794871795,0.358974358974359,0.4230769230769231,0.2564102564102564,0.038461538461538464,0.2948717948717949,0.1794871794871795,1.0
