Country,Time_Interval,Total_Papers,Diversity,ECI,ECI+,GDP,Nestedness_NODF,Modularity_Q
Antigua & Barbuda,1998-2002,5.0,0.0714285714285714,,,,0.27282079664694203,0.2625174188578835
Antigua & Barbuda,2003-2007,7.277777777777756,0.20493866749608736,,,,0.2596958358994229,0.23727412551345609
Antigua & Barbuda,2008-2012,8.776190476190468,0.1754904891804232,,,,0.28717402025853084,0.2308756681103245
Antigua & Barbuda,2013-2017,6.440339732731033,0.26677182670181077,,,,0.2709120283792509,0.22884322635683815
Argentina,1973-1977,4125.544537815123,0.5953189947485348,0.2181498,0.5326068,57073985074.6,0.27520515347294855,0.22901721117518653
Argentina,1978-1982,5241.765079365075,0.6233733371727829,-0.031744400000000006,0.47154559999999995,73456290410.8,0.2891861082862083,0.22422940460866872
Argentina,1983-1987,7914.241057553547,0.6470148687910269,0.0610496,0.446486,98705534179.6,0.26408051080252964,0.21552684594487367
Argentina,1988-1992,9092.455681884545,0.6773333780700077,0.04609300000000001,0.3839138,152540979607.2,0.2608418555255483,0.2757009991570048
Argentina,1993-1997,11910.887442622861,0.6186924026167602,-0.0065065999999999995,0.3943498,263444600000.0,0.24557021014643515,0.27107123843861186
Argentina,1998-2002,17544.16164632273,0.6211205726272855,0.0419954,0.3583008,246619200850.4,0.27282079664694203,0.2625174188578835
Argentina,2003-2007,20013.483795783985,0.6217496541997305,0.028639199999999997,0.22068339999999997,202214000000.0,0.2596958358994229,0.23727412551345609
Argentina,2008-2012,28463.005063062017,0.6776354297350786,-0.005942200000000003,0.1870136,438861200000.0,0.28717402025853084,0.2308756681103245
Argentina,2013-2017,32349.354560356034,0.6610077988165224,0.01127140000000001,-0.13964433333333334,574664200000.0,0.2709120283792509,0.22884322635683815
Armenia,1973-1977,2.5,0.15969628197896435,,,,0.27520515347294855,0.22901721117518653
Armenia,1988-1992,135.93596491228067,0.3257144186167338,,,1865980945.3333333,0.2608418555255483,0.2757009991570048
Armenia,1993-1997,1010.3470406864562,0.362762181420892,,,1444250111.6,0.24557021014643515,0.27107123843861186
Armenia,1998-2002,1039.4869879836415,0.3589284257548445,,,2029115048.8,0.27282079664694203,0.2625174188578835
Armenia,2003-2007,1206.505181262253,0.38348805004907316,,,5374979901.0,0.2596958358994229,0.23727412551345609
Armenia,2008-2012,1825.4282093140635,0.39960177827177745,,,10066338756.6,0.28717402025853084,0.2308756681103245
Armenia,2013-2017,1773.0451613540185,0.4001406410401904,,,11071582021.2,0.2709120283792509,0.22884322635683815
Australia,1973-1977,33305.58492618486,0.7514206459657067,-0.0323832,0.692989,92972430352.4,0.27520515347294855,0.22901721117518653
Australia,1978-1982,47244.98526057267,0.7748948861240472,-0.0665878,0.5419457999999999,154647600000.0,0.2891861082862083,0.22422940460866872
Australia,1983-1987,55876.60219112661,0.773677142640858,-0.0694036,0.5863196,184320800000.0,0.26408051080252964,0.21552684594487367
Australia,1988-1992,61798.37713826094,0.7822973412179803,-0.1400326,0.548195,299178600000.0,0.2608418555255483,0.2757009991570048
Australia,1993-1997,78697.09882359486,0.7866332523891362,0.002762200000000001,0.4858392,367168600000.0,0.24557021014643515,0.27107123843861186
Australia,1998-2002,89836.47511363961,0.7834873208367779,-0.0304452,0.3986004,395151000000.0,0.27282079664694203,0.2625174188578835
Australia,2003-2007,108151.86731097139,0.7696280459203106,-0.1594258,0.318347,674308000000.0,0.2596958358994229,0.23727412551345609
Australia,2008-2012,153753.46099332068,0.7324148567708891,-0.3969264,0.2019044,1214149000000.0,0.28717402025853084,0.2308756681103245
Australia,2013-2017,206094.39572370946,0.7162551128641321,-0.26668656,-0.09713100000000001,1386868000000.0,0.2709120283792509,0.22884322635683815
Austria,1973-1977,9721.596933621922,0.685867189825119,1.819032,1.549556,39853942005.0,0.27520515347294855,0.22901721117518653
Austria,1978-1982,13441.617526814416,0.7478956033916677,1.852872,1.51867,72071596647.8,0.2891861082862083,0.22422940460866872
Austria,1983-1987,14724.790948739199,0.7259250990970174,1.83508,1.445378,86539460294.0,0.26408051080252964,0.21552684594487367
Austria,1988-1992,16890.660910662653,0.7587999986763567,1.940026,1.450786,160356000000.0,0.2608418555255483,0.2757009991570048
Austria,1993-1997,21349.872808263637,0.7674306838926817,2.044616,1.3761379999999999,216998800000.0,0.24557021014643515,0.27107123843861186
Austria,1998-2002,26933.982956344906,0.7939248490825558,1.7805440000000001,1.2922600000000002,208592400000.0,0.27282079664694203,0.2625174188578835
Austria,2003-2007,30609.398422955805,0.7992947033827748,1.7555520000000002,1.238334,320652800000.0,0.2596958358994229,0.23727412551345609
Austria,2008-2012,36281.06413585666,0.8276765011253284,1.7134819999999997,1.216468,412580800000.0,0.28717402025853084,0.2308756681103245
Austria,2013-2017,42392.68498688392,0.8410220341937777,1.6658339999999998,1.1856,413485400000.0,0.2709120283792509,0.22884322635683815
Azerbaijan,1973-1977,2.0,0.0714285714285714,,,,0.27520515347294855,0.22901721117518653
Azerbaijan,1983-1987,1.0,0.0714285714285714,,,,0.26408051080252964,0.21552684594487367
Azerbaijan,1988-1992,164.08333333333326,0.2618100701753434,-0.392366,-1.11976,7547240768.333333,0.2608418555255483,0.2757009991570048
