discipline,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Arts,1.0,0.13274336283185842,0.06666666666666667,0.13157894736842105,0.10638297872340426,0.12962962962962962,0.1724137931034483,0.24,0.23255813953488372,0.2391304347826087,0.15151515151515152,0.2,0.11538461538461539,0.18571428571428572
Biology,0.13274336283185842,1.0,0.23893805309734514,0.1504424778761062,0.5486725663716814,0.37168141592920356,0.12389380530973451,0.17699115044247787,0.34513274336283184,0.26548672566371684,0.09734513274336283,0.13274336283185842,0.19469026548672566,0.5221238938053098
Biomedical Research,0.06666666666666667,0.23893805309734514,1.0,0.3333333333333333,0.2553191489361702,0.2962962962962963,0.13333333333333333,0.06666666666666667,0.15555555555555556,0.34782608695652173,0.24444444444444444,0.044444444444444446,0.15555555555555556,0.2
Chemistry,0.13157894736842105,0.1504424778761062,0.3333333333333333,1.0,0.13829787234042554,0.09259259259259259,0.34210526315789475,0.05263157894736842,0.06976744186046512,0.32608695652173914,0.47368421052631576,0.05263157894736842,0.13157894736842105,0.11428571428571428
Clinical Medicine,0.10638297872340426,0.5486725663716814,0.2553191489361702,0.13829787234042554,1.0,0.2765957446808511,0.10638297872340426,0.18085106382978725,0.2127659574468085,0.2872340425531915,0.10638297872340426,0.07446808510638298,0.14893617021276595,0.4574468085106383
Earth and Space,0.12962962962962962,0.37168141592920356,0.2962962962962963,0.09259259259259259,0.2765957446808511,1.0,0.12962962962962962,0.16666666666666666,0.37037037037037035,0.2777777777777778,0.05555555555555555,0.12962962962962962,0.16666666666666666,0.4
Engineering and Technology,0.1724137931034483,0.12389380530973451,0.13333333333333333,0.34210526315789475,0.10638297872340426,0.12962962962962962,1.0,0.13793103448275862,0.11627906976744186,0.1956521739130435,0.2727272727272727,0.10344827586206896,0.06896551724137931,0.12857142857142856
Health,0.24,0.17699115044247787,0.06666666666666667,0.05263157894736842,0.18085106382978725,0.16666666666666666,0.13793103448275862,1.0,0.27906976744186046,0.17391304347826086,0.15151515151515152,0.16,0.23076923076923078,0.18571428571428572
Humanities,0.23255813953488372,0.34513274336283184,0.15555555555555556,0.06976744186046512,0.2127659574468085,0.37037037037037035,0.11627906976744186,0.27906976744186046,1.0,0.2391304347826087,0.06976744186046512,0.23255813953488372,0.3023255813953488,0.5
Mathematics,0.2391304347826087,0.26548672566371684,0.34782608695652173,0.32608695652173914,0.2872340425531915,0.2777777777777778,0.1956521739130435,0.17391304347826086,0.2391304347826087,1.0,0.30434782608695654,0.10869565217391304,0.1956521739130435,0.32857142857142857
Physics,0.15151515151515152,0.09734513274336283,0.24444444444444444,0.47368421052631576,0.10638297872340426,0.05555555555555555,0.2727272727272727,0.15151515151515152,0.06976744186046512,0.30434782608695654,1.0,0.0,0.12121212121212122,0.1
Professional Fields,0.2,0.13274336283185842,0.044444444444444446,0.05263157894736842,0.07446808510638298,0.12962962962962962,0.10344827586206896,0.16,0.23255813953488372,0.10869565217391304,0.0,1.0,0.2692307692307692,0.22857142857142856
Psychology,0.11538461538461539,0.19469026548672566,0.15555555555555556,0.13157894736842105,0.14893617021276595,0.16666666666666666,0.06896551724137931,0.23076923076923078,0.3023255813953488,0.1956521739130435,0.12121212121212122,0.2692307692307692,1.0,0.24285714285714285
Social Sciences,0.18571428571428572,0.5221238938053098,0.2,0.11428571428571428,0.4574468085106383,0.4,0.12857142857142856,0.18571428571428572,0.5,0.32857142857142857,0.1,0.22857142857142856,0.24285714285714285,1.0
