discipline,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Arts,1.0,0.16666666666666666,0.24489795918367346,0.1346153846153846,0.17525773195876287,0.16161616161616163,0.1276595744680851,0.21839080459770116,0.2608695652173913,0.16666666666666666,0.07142857142857142,0.29545454545454547,0.28125,0.26582278481012656
Biology,0.16666666666666666,1.0,0.2826086956521739,0.1956521739130435,0.5072463768115942,0.5797101449275363,0.14492753623188406,0.5217391304347826,0.2391304347826087,0.32608695652173914,0.17391304347826086,0.21014492753623187,0.13768115942028986,0.4492753623188406
Biomedical Research,0.24489795918367346,0.2826086956521739,1.0,0.09615384615384616,0.3711340206185567,0.26262626262626265,0.08163265306122448,0.28735632183908044,0.32653061224489793,0.16666666666666666,0.125,0.1836734693877551,0.22448979591836735,0.189873417721519
Chemistry,0.1346153846153846,0.1956521739130435,0.09615384615384616,1.0,0.07216494845360824,0.20202020202020202,0.5576923076923077,0.08045977011494253,0.11538461538461539,0.46153846153846156,0.6071428571428571,0.09615384615384616,0.0,0.08860759493670886
Clinical Medicine,0.17525773195876287,0.5072463768115942,0.3711340206185567,0.07216494845360824,1.0,0.48484848484848486,0.13402061855670103,0.5979381443298969,0.28865979381443296,0.2268041237113402,0.1134020618556701,0.21649484536082475,0.21649484536082475,0.4329896907216495
Earth and Space,0.16161616161616163,0.5797101449275363,0.26262626262626265,0.20202020202020202,0.48484848484848486,1.0,0.10101010101010101,0.5353535353535354,0.29292929292929293,0.3333333333333333,0.21212121212121213,0.2828282828282828,0.15151515151515152,0.46464646464646464
Engineering and Technology,0.1276595744680851,0.14492753623188406,0.08163265306122448,0.5576923076923077,0.13402061855670103,0.10101010101010101,1.0,0.04597701149425287,0.1702127659574468,0.3974358974358974,0.48214285714285715,0.23404255319148937,0.06382978723404255,0.17721518987341772
Health,0.21839080459770116,0.5217391304347826,0.28735632183908044,0.08045977011494253,0.5979381443298969,0.5353535353535354,0.04597701149425287,1.0,0.3218390804597701,0.16091954022988506,0.11494252873563218,0.3103448275862069,0.1839080459770115,0.5977011494252874
Humanities,0.2608695652173913,0.2391304347826087,0.32653061224489793,0.11538461538461539,0.28865979381443296,0.29292929292929293,0.1702127659574468,0.3218390804597701,1.0,0.24358974358974358,0.17857142857142858,0.43478260869565216,0.2826086956521739,0.379746835443038
Mathematics,0.16666666666666666,0.32608695652173914,0.16666666666666666,0.46153846153846156,0.2268041237113402,0.3333333333333333,0.3974358974358974,0.16091954022988506,0.24358974358974358,1.0,0.48717948717948717,0.15384615384615385,0.08974358974358974,0.3291139240506329
Physics,0.07142857142857142,0.17391304347826086,0.125,0.6071428571428571,0.1134020618556701,0.21212121212121213,0.48214285714285715,0.11494252873563218,0.17857142857142858,0.48717948717948717,1.0,0.14285714285714285,0.07142857142857142,0.17721518987341772
Professional Fields,0.29545454545454547,0.21014492753623187,0.1836734693877551,0.09615384615384616,0.21649484536082475,0.2828282828282828,0.23404255319148937,0.3103448275862069,0.43478260869565216,0.15384615384615385,0.14285714285714285,1.0,0.29545454545454547,0.43037974683544306
Psychology,0.28125,0.13768115942028986,0.22448979591836735,0.0,0.21649484536082475,0.15151515151515152,0.06382978723404255,0.1839080459770115,0.2826086956521739,0.08974358974358974,0.07142857142857142,0.29545454545454547,1.0,0.24050632911392406
Social Sciences,0.26582278481012656,0.4492753623188406,0.189873417721519,0.08860759493670886,0.4329896907216495,0.46464646464646464,0.17721518987341772,0.5977011494252874,0.379746835443038,0.3291139240506329,0.17721518987341772,0.43037974683544306,0.24050632911392406,1.0
