discipline,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Arts,1.0,0.1810344827586207,0.14634146341463414,0.14705882352941177,0.19318181818181818,0.08771929824561403,0.10810810810810811,0.18518518518518517,0.23684210526315788,0.1276595744680851,0.11764705882352941,0.2222222222222222,0.18518518518518517,0.275
Biology,0.1810344827586207,1.0,0.1896551724137931,0.13793103448275862,0.5,0.35344827586206895,0.14655172413793102,0.15517241379310345,0.28448275862068967,0.21551724137931033,0.1206896551724138,0.1724137931034483,0.1896551724137931,0.5775862068965517
Biomedical Research,0.14634146341463414,0.1896551724137931,1.0,0.3170731707317073,0.25,0.24561403508771928,0.17073170731707318,0.07317073170731707,0.12195121951219512,0.2553191489361702,0.3170731707317073,0.0975609756097561,0.17073170731707318,0.125
Chemistry,0.14705882352941177,0.13793103448275862,0.3170731707317073,1.0,0.125,0.10526315789473684,0.35135135135135137,0.0,0.13157894736842105,0.3404255319148936,0.5,0.058823529411764705,0.029411764705882353,0.1375
Clinical Medicine,0.19318181818181818,0.5,0.25,0.125,1.0,0.2727272727272727,0.17045454545454544,0.14772727272727273,0.17045454545454544,0.20454545454545456,0.10227272727272728,0.125,0.13636363636363635,0.5227272727272727
Earth and Space,0.08771929824561403,0.35344827586206895,0.24561403508771928,0.10526315789473684,0.2727272727272727,1.0,0.22807017543859648,0.21052631578947367,0.2807017543859649,0.2631578947368421,0.14035087719298245,0.17543859649122806,0.17543859649122806,0.325
Engineering and Technology,0.10810810810810811,0.14655172413793102,0.17073170731707318,0.35135135135135137,0.17045454545454544,0.22807017543859648,1.0,0.16216216216216217,0.18421052631578946,0.44680851063829785,0.4864864864864865,0.10810810810810811,0.08108108108108109,0.1875
Health,0.18518518518518517,0.15517241379310345,0.07317073170731707,0.0,0.14772727272727273,0.21052631578947367,0.16216216216216217,1.0,0.34210526315789475,0.0851063829787234,0.058823529411764705,0.23076923076923078,0.24,0.25
Humanities,0.23684210526315788,0.28448275862068967,0.12195121951219512,0.13157894736842105,0.17045454545454544,0.2807017543859649,0.18421052631578946,0.34210526315789475,1.0,0.2978723404255319,0.13157894736842105,0.3684210526315789,0.2631578947368421,0.3625
Mathematics,0.1276595744680851,0.21551724137931033,0.2553191489361702,0.3404255319148936,0.20454545454545456,0.2631578947368421,0.44680851063829785,0.0851063829787234,0.2978723404255319,1.0,0.40425531914893614,0.0425531914893617,0.1702127659574468,0.2625
Physics,0.11764705882352941,0.1206896551724138,0.3170731707317073,0.5,0.10227272727272728,0.14035087719298245,0.4864864864864865,0.058823529411764705,0.13157894736842105,0.40425531914893614,1.0,0.058823529411764705,0.08823529411764706,0.1375
Professional Fields,0.2222222222222222,0.1724137931034483,0.0975609756097561,0.058823529411764705,0.125,0.17543859649122806,0.10810810810810811,0.23076923076923078,0.3684210526315789,0.0425531914893617,0.058823529411764705,1.0,0.2692307692307692,0.2125
Psychology,0.18518518518518517,0.1896551724137931,0.17073170731707318,0.029411764705882353,0.13636363636363635,0.17543859649122806,0.08108108108108109,0.24,0.2631578947368421,0.1702127659574468,0.08823529411764706,0.2692307692307692,1.0,0.2375
Social Sciences,0.275,0.5775862068965517,0.125,0.1375,0.5227272727272727,0.325,0.1875,0.25,0.3625,0.2625,0.1375,0.2125,0.2375,1.0
