discipline,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Arts,1.0,0.07377049180327869,0.12121212121212122,0.03125,0.09183673469387756,0.07777777777777778,0.04,0.17777777777777778,0.19148936170212766,0.029411764705882353,0.0,0.2,0.15,0.16666666666666666
Biology,0.07377049180327869,1.0,0.13934426229508196,0.22131147540983606,0.5,0.5573770491803278,0.1557377049180328,0.28688524590163933,0.27049180327868855,0.26229508196721313,0.09836065573770492,0.1885245901639344,0.13114754098360656,0.5409836065573771
Biomedical Research,0.12121212121212122,0.13934426229508196,1.0,0.203125,0.17346938775510204,0.15555555555555556,0.04,0.17777777777777778,0.19148936170212766,0.11764705882352941,0.23255813953488372,0.14285714285714285,0.09090909090909091,0.10256410256410256
Chemistry,0.03125,0.22131147540983606,0.203125,1.0,0.1326530612244898,0.32222222222222224,0.484375,0.015625,0.125,0.5882352941176471,0.484375,0.0625,0.03125,0.08974358974358974
Clinical Medicine,0.09183673469387756,0.5,0.17346938775510204,0.1326530612244898,1.0,0.47959183673469385,0.14285714285714285,0.32653061224489793,0.2755102040816326,0.21428571428571427,0.07142857142857142,0.1836734693877551,0.12244897959183673,0.4489795918367347
Earth and Space,0.07777777777777778,0.5573770491803278,0.15555555555555556,0.32222222222222224,0.47959183673469385,1.0,0.23333333333333334,0.3,0.25555555555555554,0.34444444444444444,0.16666666666666666,0.18888888888888888,0.12222222222222222,0.4
Engineering and Technology,0.04,0.1557377049180328,0.04,0.484375,0.14285714285714285,0.23333333333333334,1.0,0.08,0.18,0.4852941176470588,0.42,0.22,0.08,0.16666666666666666
Health,0.17777777777777778,0.28688524590163933,0.17777777777777778,0.015625,0.32653061224489793,0.3,0.08,1.0,0.3404255319148936,0.08823529411764706,0.044444444444444446,0.35555555555555557,0.15555555555555556,0.38461538461538464
Humanities,0.19148936170212766,0.27049180327868855,0.19148936170212766,0.125,0.2755102040816326,0.25555555555555554,0.18,0.3404255319148936,1.0,0.25,0.1276595744680851,0.3617021276595745,0.1702127659574468,0.38461538461538464
Mathematics,0.029411764705882353,0.26229508196721313,0.11764705882352941,0.5882352941176471,0.21428571428571427,0.34444444444444444,0.4852941176470588,0.08823529411764706,0.25,1.0,0.45588235294117646,0.19117647058823528,0.058823529411764705,0.21794871794871795
Physics,0.0,0.09836065573770492,0.23255813953488372,0.484375,0.07142857142857142,0.16666666666666666,0.42,0.044444444444444446,0.1276595744680851,0.45588235294117646,1.0,0.06976744186046512,0.0,0.01282051282051282
Professional Fields,0.2,0.1885245901639344,0.14285714285714285,0.0625,0.1836734693877551,0.18888888888888888,0.22,0.35555555555555557,0.3617021276595745,0.19117647058823528,0.06976744186046512,1.0,0.2571428571428571,0.34615384615384615
Psychology,0.15,0.13114754098360656,0.09090909090909091,0.03125,0.12244897959183673,0.12222222222222222,0.08,0.15555555555555556,0.1702127659574468,0.058823529411764705,0.0,0.2571428571428571,1.0,0.19230769230769232
Social Sciences,0.16666666666666666,0.5409836065573771,0.10256410256410256,0.08974358974358974,0.4489795918367347,0.4,0.16666666666666666,0.38461538461538464,0.38461538461538464,0.21794871794871795,0.01282051282051282,0.34615384615384615,0.19230769230769232,1.0
