discipline,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Arts,1.0,0.08208955223880597,0.09090909090909091,0.03571428571428571,0.09183673469387756,0.0970873786407767,0.03508771929824561,0.16666666666666666,0.19444444444444445,0.0547945205479452,0.020833333333333332,0.09302325581395349,0.15,0.17567567567567569
Biology,0.08208955223880597,1.0,0.11194029850746269,0.20149253731343283,0.5149253731343284,0.5970149253731343,0.1791044776119403,0.41044776119402987,0.21641791044776118,0.29850746268656714,0.12686567164179105,0.22388059701492538,0.08955223880597014,0.4701492537313433
Biomedical Research,0.09090909090909091,0.11194029850746269,1.0,0.10714285714285714,0.15306122448979592,0.0970873786407767,0.05263157894736842,0.12121212121212122,0.1388888888888889,0.0958904109589041,0.125,0.09302325581395349,0.18181818181818182,0.08108108108108109
Chemistry,0.03571428571428571,0.20149253731343283,0.10714285714285714,1.0,0.08163265306122448,0.21359223300970873,0.5789473684210527,0.045454545454545456,0.07142857142857142,0.5342465753424658,0.5892857142857143,0.03571428571428571,0.017857142857142856,0.10810810810810811
Clinical Medicine,0.09183673469387756,0.5149253731343284,0.15306122448979592,0.08163265306122448,1.0,0.5145631067961165,0.15306122448979592,0.4489795918367347,0.17346938775510204,0.20408163265306123,0.08163265306122448,0.21428571428571427,0.12244897959183673,0.40816326530612246
Earth and Space,0.0970873786407767,0.5970149253731343,0.0970873786407767,0.21359223300970873,0.5145631067961165,1.0,0.21359223300970873,0.4174757281553398,0.23300970873786409,0.33980582524271846,0.1941747572815534,0.2621359223300971,0.13592233009708737,0.46601941747572817
Engineering and Technology,0.03508771929824561,0.1791044776119403,0.05263157894736842,0.5789473684210527,0.15306122448979592,0.21359223300970873,1.0,0.10606060606060606,0.07017543859649122,0.5068493150684932,0.45614035087719296,0.15789473684210525,0.07017543859649122,0.17567567567567569
Health,0.16666666666666666,0.41044776119402987,0.12121212121212122,0.045454545454545456,0.4489795918367347,0.4174757281553398,0.10606060606060606,1.0,0.24242424242424243,0.1917808219178082,0.045454545454545456,0.3484848484848485,0.21212121212121213,0.5540540540540541
Humanities,0.19444444444444445,0.21641791044776118,0.1388888888888889,0.07142857142857142,0.17346938775510204,0.23300970873786409,0.07017543859649122,0.24242424242424243,1.0,0.2328767123287671,0.10416666666666667,0.4418604651162791,0.2777777777777778,0.36486486486486486
Mathematics,0.0547945205479452,0.29850746268656714,0.0958904109589041,0.5342465753424658,0.20408163265306123,0.33980582524271846,0.5068493150684932,0.1917808219178082,0.2328767123287671,1.0,0.5068493150684932,0.2054794520547945,0.0958904109589041,0.24324324324324326
Physics,0.020833333333333332,0.12686567164179105,0.125,0.5892857142857143,0.08163265306122448,0.1941747572815534,0.45614035087719296,0.045454545454545456,0.10416666666666667,0.5068493150684932,1.0,0.08333333333333333,0.08333333333333333,0.0945945945945946
Professional Fields,0.09302325581395349,0.22388059701492538,0.09302325581395349,0.03571428571428571,0.21428571428571427,0.2621359223300971,0.15789473684210525,0.3484848484848485,0.4418604651162791,0.2054794520547945,0.08333333333333333,1.0,0.2558139534883721,0.44594594594594594
Psychology,0.15,0.08955223880597014,0.18181818181818182,0.017857142857142856,0.12244897959183673,0.13592233009708737,0.07017543859649122,0.21212121212121213,0.2777777777777778,0.0958904109589041,0.08333333333333333,0.2558139534883721,1.0,0.20270270270270271
Social Sciences,0.17567567567567569,0.4701492537313433,0.08108108108108109,0.10810810810810811,0.40816326530612246,0.46601941747572817,0.17567567567567569,0.5540540540540541,0.36486486486486486,0.24324324324324326,0.0945945945945946,0.44594594594594594,0.20270270270270271,1.0
