Country,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Afghanistan,0.41943907900091204,0.309318069258957,0.13807208217245226,0.19089215220763,0.0714285714285714,0.08630019186928439,0.2749452439892758,0.3734388059908653,0.30188442607287314
Albania,,0.20809693087713899,0.18160628967881198,0.34406780881814547,0.3504808558906135,0.43289640200049706,0.469814956150747,0.495281837909758,0.5439561917252896
Algeria,0.6547033640154789,0.6051031773484363,0.6317067847440885,0.613840077960977,0.4797058494868891,0.4069093943392994,0.37049556003461603,0.41516572668055807,0.4207752571363006
Andorra,,,,0.0714285714285714,0.1050403964769091,0.2577031316479991,0.18172378327417094,0.29557087365774637,0.3950514967096902
Angola,0.3534704851117867,0.1681373174368913,0.17566785378953398,0.27057776463801686,0.22833783164207844,0.4078310278233209,0.27096859668690954,0.5336694020858906,0.4480152398145143
Antarctica,0.08759822797453387,0.1905546426233038,0.09751566938509681,0.11469688443834125,,0.0714285714285714,0.0714285714285714,0.1687610574768802,0.0935538902362063
Antigua & Barbuda,,,,0.0714285714285714,0.08411608472009369,0.0714285714285714,0.20493866749608736,0.1754904891804232,0.26677182670181077
Argentina,0.5953189947485348,0.6233733371727829,0.6470148687910269,0.6773333780700077,0.6186924026167602,0.6211205726272855,0.6217496541997305,0.6776354297350786,0.6610077988165224
Armenia,0.15969628197896435,,,0.3257144186167338,0.362762181420892,0.3589284257548445,0.38348805004907316,0.39960177827177745,0.4001406410401904
Australia,0.7514206459657067,0.7748948861240472,0.773677142640858,0.7822973412179803,0.7866332523891362,0.7834873208367779,0.7696280459203106,0.7324148567708891,0.7162551128641321
Austria,0.685867189825119,0.7478956033916677,0.7259250990970174,0.7587999986763567,0.7674306838926817,0.7939248490825558,0.7992947033827748,0.8276765011253284,0.8410220341937777
Azerbaijan,0.0714285714285714,,0.0714285714285714,0.2618100701753434,0.3014545260006446,0.3253730644247541,0.35574950174838393,0.3476598737354605,0.3733316081816461
Bahamas,0.46688808095125967,0.2294175858222106,0.21070595152210603,0.1809656771410132,0.2554951989709602,0.4580475675973068,0.42776568807102067,0.3798814842880168,0.4763446574576726
Bahrain,0.0714285714285714,0.24590229269109398,0.3528755010750001,0.49373475392474775,0.5219574432377873,0.5874667357279812,0.5988849600637995,0.663755753429479,0.684476419435935
