discipline,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Arts,1.0,0.23776223776223776,0.2236842105263158,0.2,0.2736842105263158,0.2682926829268293,0.24528301886792453,0.22935779816513763,0.49295774647887325,0.32,0.14,0.4084507042253521,0.46,0.319672131147541
Biology,0.23776223776223776,1.0,0.4125874125874126,0.13286713286713286,0.4755244755244755,0.6783216783216783,0.1888111888111888,0.6223776223776224,0.34965034965034963,0.34265734265734266,0.1258741258741259,0.36363636363636365,0.18181818181818182,0.6713286713286714
Biomedical Research,0.2236842105263158,0.4125874125874126,1.0,0.10526315789473684,0.5473684210526316,0.3170731707317073,0.09210526315789473,0.44036697247706424,0.27631578947368424,0.23684210526315788,0.09210526315789473,0.25,0.19736842105263158,0.3770491803278688
Chemistry,0.2,0.13286713286713286,0.10526315789473684,1.0,0.08421052631578947,0.18699186991869918,0.5283018867924528,0.009174311926605505,0.11267605633802817,0.36,0.6590909090909091,0.07042253521126761,0.075,0.08196721311475409
Clinical Medicine,0.2736842105263158,0.4755244755244755,0.5473684210526316,0.08421052631578947,1.0,0.43902439024390244,0.11578947368421053,0.6422018348623854,0.3263157894736842,0.22105263157894736,0.09473684210526316,0.3684210526315789,0.21052631578947367,0.5409836065573771
Earth and Space,0.2682926829268293,0.6783216783216783,0.3170731707317073,0.18699186991869918,0.43902439024390244,1.0,0.1951219512195122,0.5447154471544715,0.3902439024390244,0.37398373983739835,0.2032520325203252,0.35772357723577236,0.21138211382113822,0.6422764227642277
Engineering and Technology,0.24528301886792453,0.1888111888111888,0.09210526315789473,0.5283018867924528,0.11578947368421053,0.1951219512195122,1.0,0.09174311926605505,0.2112676056338028,0.4533333333333333,0.49056603773584906,0.2535211267605634,0.09433962264150944,0.1885245901639344
Health,0.22935779816513763,0.6223776223776224,0.44036697247706424,0.009174311926605505,0.6422018348623854,0.5447154471544715,0.09174311926605505,1.0,0.3577981651376147,0.1926605504587156,0.05504587155963303,0.42201834862385323,0.22935779816513763,0.6967213114754098
Humanities,0.49295774647887325,0.34965034965034963,0.27631578947368424,0.11267605633802817,0.3263157894736842,0.3902439024390244,0.2112676056338028,0.3577981651376147,1.0,0.44,0.14084507042253522,0.5633802816901409,0.36619718309859156,0.47540983606557374
Mathematics,0.32,0.34265734265734266,0.23684210526315788,0.36,0.22105263157894736,0.37398373983739835,0.4533333333333333,0.1926605504587156,0.44,1.0,0.4,0.28,0.18666666666666668,0.3360655737704918
Physics,0.14,0.1258741258741259,0.09210526315789473,0.6590909090909091,0.09473684210526316,0.2032520325203252,0.49056603773584906,0.05504587155963303,0.14084507042253522,0.4,1.0,0.04225352112676056,0.11363636363636363,0.10655737704918032
Professional Fields,0.4084507042253521,0.36363636363636365,0.25,0.07042253521126761,0.3684210526315789,0.35772357723577236,0.2535211267605634,0.42201834862385323,0.5633802816901409,0.28,0.04225352112676056,1.0,0.38028169014084506,0.48360655737704916
Psychology,0.46,0.18181818181818182,0.19736842105263158,0.075,0.21052631578947367,0.21138211382113822,0.09433962264150944,0.22935779816513763,0.36619718309859156,0.18666666666666668,0.11363636363636363,0.38028169014084506,1.0,0.28688524590163933
Social Sciences,0.319672131147541,0.6713286713286714,0.3770491803278688,0.08196721311475409,0.5409836065573771,0.6422764227642277,0.1885245901639344,0.6967213114754098,0.47540983606557374,0.3360655737704918,0.10655737704918032,0.48360655737704916,0.28688524590163933,1.0
