Country,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Afghanistan,0.0,1.7273114114641623,0.7603006021332942,0.0,1.9064727329130775,1.4183028247023788,0.21516700994301774,0.0,0.0,1.9600026747284727,0.6045122524553331,0.0,0.0,1.705649469600736
Algeria,1.3813886802571103,0.886161430180783,0.8817764497667501,2.562398327089942,0.7947766916840613,0.6991858219583962,0.1894136630932571,1.1606340727583957,0.8837925251942798,1.1732787230999269,1.0643163201704957,0.0,0.1268224931221664,0.7862401181786715
Angola,0.0,3.441497150628128,1.3349021583000984,1.0176049228175412,0.9761401382289656,0.7470580043627546,0.9066737187749023,0.0,0.0,2.0647715864707155,0.0,0.0,0.0,0.0
Antarctica,0.0,0.0,2.3519704693858867,0.0,0.0,18.427430774281277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.09266080892170821,0.6479012752422991,1.6836204251823523,0.9407800450245105,1.4939080363066304,0.7227066080488201,0.3638852995286257,0.15570605663841533,0.24306049343165126,0.40970922128736814,0.6269308219444146,0.1069379543644806,0.8322682586806462,0.46916113913878454
Armenia,0.0,0.0,0.0,3.0121105715399215,0.7472521058166566,0.0,0.0,0.0,0.0,0.0,3.5343816360221814,0.0,0.0,0.0
Australia,0.17216765369699522,2.012305419289588,0.8169679853864319,0.8646382636134667,1.0259091092941843,1.4843854936039795,0.7764924774132179,0.6962687804894753,1.1636775498516327,0.9092073313783388,0.6554650878597792,0.5430351632258617,0.8982990324026539,1.5410883947249059
Austria,0.2359342585749817,0.6349238218978825,0.553118229684732,0.9972141201855574,1.8952220377335482,0.44135030986463203,0.7192037237669154,0.3832455922582796,0.6691998334818832,1.099526190176824,0.657415299291377,0.12612063214062658,0.40613710834592737,0.6709630745828314
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.835954090055452,0.0,0.0,0.0
Bahamas,0.0,2.8044947859289953,1.047006208952427,0.0,0.7231471991774093,2.674949628524702,0.9739430592001372,0.0,3.786965442148598,0.0,0.0,2.514527222083707,1.3585552747099676,2.1056017616513962
