Time_Interval,Modularity_Q
1973-1977,0.22901721117518653
1978-1982,0.22422940460866872
1983-1987,0.21552684594487367
1988-1992,0.2757009991570048
1993-1997,0.27107123843861186
1998-2002,0.2625174188578835
2003-2007,0.23727412551345609
2008-2012,0.2308756681103245
2013-2017,0.22884322635683815
