Time_Interval,N_Countries,N_Disciplines,N_Advantages,Avg_Advantages_per_Country,Avg_Diversity,Nestedness_NODF,Modularity_Q
1973-1977,173,14,653,3.7745664739884393,0.37272625927390785,0.27520515347294855,0.22901721117518653
1978-1982,171,14,673,3.935672514619883,0.40152731184157786,0.2891861082862083,0.22422940460866872
1983-1987,178,14,724,4.067415730337078,0.39730359788091685,0.26408051080252964,0.21552684594487367
1988-1992,198,14,807,4.075757575757576,0.4055461475380082,0.2608418555255483,0.2757009991570048
1993-1997,198,14,857,4.328282828282828,0.4347420121966821,0.24557021014643515,0.27107123843861186
1998-2002,195,14,845,4.333333333333333,0.4444655515368321,0.27282079664694203,0.2625174188578835
2003-2007,197,14,932,4.730964467005077,0.47007164668985973,0.2596958358994229,0.23727412551345609
2008-2012,195,14,1003,5.143589743589744,0.5099120240139879,0.28717402025853084,0.2308756681103245
2013-2017,200,14,1111,5.555,0.5266635567949625,0.2709120283792509,0.22884322635683815
