discipline,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Arts,1.0,0.08888888888888889,0.09375,0.03125,0.0967741935483871,0.0594059405940594,0.07142857142857142,0.0967741935483871,0.1875,0.09230769230769231,0.10638297872340426,0.24242424242424243,0.16,0.1794871794871795
Biology,0.08888888888888889,1.0,0.11851851851851852,0.2222222222222222,0.5259259259259259,0.5777777777777777,0.17777777777777778,0.4,0.26666666666666666,0.2222222222222222,0.1111111111111111,0.2,0.14814814814814814,0.48148148148148145
Biomedical Research,0.09375,0.11851851851851852,1.0,0.15625,0.20430107526881722,0.16831683168316833,0.05357142857142857,0.16129032258064516,0.1875,0.12307692307692308,0.23404255319148937,0.09090909090909091,0.15625,0.10256410256410256
Chemistry,0.03125,0.2222222222222222,0.15625,1.0,0.15053763440860216,0.31683168316831684,0.5,0.078125,0.15625,0.6615384615384615,0.578125,0.03125,0.015625,0.08974358974358974
Clinical Medicine,0.0967741935483871,0.5259259259259259,0.20430107526881722,0.15053763440860216,1.0,0.40594059405940597,0.11827956989247312,0.40860215053763443,0.25806451612903225,0.15053763440860216,0.06451612903225806,0.16129032258064516,0.13978494623655913,0.4731182795698925
Earth and Space,0.0594059405940594,0.5777777777777777,0.16831683168316833,0.31683168316831684,0.40594059405940597,1.0,0.24752475247524752,0.33663366336633666,0.24752475247524752,0.2871287128712871,0.18811881188118812,0.16831683168316833,0.15841584158415842,0.40594059405940597
Engineering and Technology,0.07142857142857142,0.17777777777777778,0.05357142857142857,0.5,0.11827956989247312,0.24752475247524752,1.0,0.1935483870967742,0.14285714285714285,0.5538461538461539,0.4107142857142857,0.17857142857142858,0.08928571428571429,0.19230769230769232
Health,0.0967741935483871,0.4,0.16129032258064516,0.078125,0.40860215053763443,0.33663366336633666,0.1935483870967742,1.0,0.3387096774193548,0.15384615384615385,0.08064516129032258,0.24193548387096775,0.20967741935483872,0.48717948717948717
Humanities,0.1875,0.26666666666666666,0.1875,0.15625,0.25806451612903225,0.24752475247524752,0.14285714285714285,0.3387096774193548,1.0,0.24615384615384617,0.20833333333333334,0.4583333333333333,0.25,0.3974358974358974
Mathematics,0.09230769230769231,0.2222222222222222,0.12307692307692308,0.6615384615384615,0.15053763440860216,0.2871287128712871,0.5538461538461539,0.15384615384615385,0.24615384615384617,1.0,0.5384615384615384,0.15384615384615385,0.09230769230769231,0.23076923076923078
Physics,0.10638297872340426,0.1111111111111111,0.23404255319148937,0.578125,0.06451612903225806,0.18811881188118812,0.4107142857142857,0.08064516129032258,0.20833333333333334,0.5384615384615384,1.0,0.06382978723404255,0.0425531914893617,0.07692307692307693
Professional Fields,0.24242424242424243,0.2,0.09090909090909091,0.03125,0.16129032258064516,0.16831683168316833,0.17857142857142858,0.24193548387096775,0.4583333333333333,0.15384615384615385,0.06382978723404255,1.0,0.30303030303030304,0.3717948717948718
Psychology,0.16,0.14814814814814814,0.15625,0.015625,0.13978494623655913,0.15841584158415842,0.08928571428571429,0.20967741935483872,0.25,0.09230769230769231,0.0425531914893617,0.30303030303030304,1.0,0.24358974358974358
Social Sciences,0.1794871794871795,0.48148148148148145,0.10256410256410256,0.08974358974358974,0.4731182795698925,0.40594059405940597,0.19230769230769232,0.48717948717948717,0.3974358974358974,0.23076923076923078,0.07692307692307693,0.3717948717948718,0.24358974358974358,1.0
