discipline,Time_Interval,Papers
Urology,1993-1997,18152.0
Veterinary Medicine,1993-1997,40714.0
Virology,1993-1997,20390.0
Acoustics,1998-2002,12623.0
Addictive Diseases,1998-2002,9337.0
Aerospace Technology,1998-2002,12859.0
Agricult & Food Science,1998-2002,77592.0
Allergy,1998-2002,7323.0
Analytical Chemistry,1998-2002,56793.0
Anatomy & Morphology,1998-2002,3789.0
Anesthesiology,1998-2002,16454.0
Anthropology and Archaeology,1998-2002,10454.0
Applied Chemistry,1998-2002,9712.0
Applied Mathematics,1998-2002,39643.0
Applied Physics,1998-2002,132762.0
Area Studies,1998-2002,6761.0
Arthritis & Rheumatology,1998-2002,14367.0
Astronomy & Astrophysics,1998-2002,68505.0
Behavioral Science & Complementary Psychology,1998-2002,12032.0
Biochemistry & Molecular Biology,1998-2002,222794.0
Biomedical Engineering,1998-2002,22761.0
Biophysics,1998-2002,10313.0
Botany,1998-2002,86924.0
Cancer,1998-2002,85479.0
Cardiovascular System,1998-2002,66614.0
Cellular Biology Cytology & Histology,1998-2002,38432.0
Chemical Engineering,1998-2002,45615.0
Chemical Physics,1998-2002,55549.0
Civil Engineering,1998-2002,15337.0
Clinical Psychology,1998-2002,10869.0
Communication,1998-2002,3130.0
Computers,1998-2002,92335.0
Criminology,1998-2002,2964.0
Dairy & Animal Science,1998-2002,19432.0
Demography,1998-2002,2248.0
Dentistry,1998-2002,23393.0
Dermatology & Venerial Disease,1998-2002,25173.0
Developmental & Child Psychology,1998-2002,10027.0
Earth & planetary Science,1998-2002,59048.0
Ecology,1998-2002,29939.0
Economics,1998-2002,38902.0
Education,1998-2002,17282.0
Electrical Engineering & Electronics,1998-2002,103805.0
Embryology,1998-2002,8486.0
Endocrinology,1998-2002,45611.0
Entomology,1998-2002,22468.0
Environmental & Occupational Health,1998-2002,19243.0
Environmental Science,1998-2002,58474.0
Experimental Psychology,1998-2002,12299.0
Fertility,1998-2002,12350.0
Fine Arts & Architecture,1998-2002,6810.0
Fluids & Plasmas,1998-2002,16942.0
Gastroenterology,1998-2002,35368.0
General & Internal Medicine,1998-2002,106253.0
General Biology,1998-2002,10807.0
General Biomedical Research,1998-2002,77463.0
General Chemistry,1998-2002,98715.0
General Engineering,1998-2002,2638.0
General Mathematics,1998-2002,70860.0
General Physics,1998-2002,193437.0
General Psychology,1998-2002,7618.0
General Social Sciences,1998-2002,7885.0
General Zoology,1998-2002,18433.0
Genetics & Heredity,1998-2002,71208.0
Geography,1998-2002,8265.0
Geology,1998-2002,46112.0
Geriatrics,1998-2002,6252.0
Geriatrics & Gerontology,1998-2002,5230.0
Health Policy & Services,1998-2002,11270.0
Hematology,1998-2002,32226.0
History,1998-2002,17316.0
Human Factors,1998-2002,3710.0
Immunology,1998-2002,101268.0
Industrial Engineering,1998-2002,5031.0
Information Science & Library Science,1998-2002,8731.0
Inorganic & Nuclear Chemistry,1998-2002,38967.0
International Relations,1998-2002,4732.0
Language & Linguistics,1998-2002,10267.0
Law,1998-2002,10484.0
Literature,1998-2002,19510.0
Management,1998-2002,35800.0
Marine Biology & Hydrobiology,1998-2002,42662.0
Materials Science,1998-2002,109080.0
Mechanical Engineering,1998-2002,47553.0
Metals & Metallurgy,1998-2002,46762.0
Meteorology & Atmospheric Science,1998-2002,21316.0
Microbiology,1998-2002,56968.0
Microscopy,1998-2002,3367.0
Miscellaneous Biology,1998-2002,9237.0
Miscellaneous Biomedical Research,1998-2002,13363.0
Miscellaneous Clinical Medicine,1998-2002,16958.0
Miscellaneous Engineering & Technology,1998-2002,13327.0
Miscellaneous Humanities,1998-2002,6440.0
Miscellaneous Mathematics,1998-2002,8664.0
Miscellaneous Physics,1998-2002,4039.0
Miscellaneous Professional Field,1998-2002,2609.0
Miscellaneous Psychology,1998-2002,14958.0
Miscellaneous Social Sciences,1998-2002,9237.0
Miscellaneous Zoology,1998-2002,10475.0
Nephrology,1998-2002,16970.0
Neurology & Neurosurgery,1998-2002,156334.0
Nuclear & Particle Physics,1998-2002,90425.0
Nuclear Technology,1998-2002,18519.0
Nursing,1998-2002,8769.0
Nutrition & Dietetic,1998-2002,19817.0
Obstetrics & Gynecology,1998-2002,24606.0
Oceanography & Limnology,1998-2002,17304.0
Operations Research,1998-2002,5303.0
Ophthalmology,1998-2002,26067.0
Optics,1998-2002,49924.0
Organic Chemistry,1998-2002,82478.0
Orthopedics,1998-2002,23605.0
Otorhinolaryngology,1998-2002,18616.0
Parasitology,1998-2002,11608.0
Pathology,1998-2002,22979.0
Pediatrics,1998-2002,26107.0
Performing Arts,1998-2002,5030.0
Pharmacology,1998-2002,110332.0
Pharmacy,1998-2002,10718.0
Philosophy,1998-2002,9336.0
Physical Chemistry,1998-2002,149231.0
Physiology,1998-2002,36340.0
Planning & Urban Studies,1998-2002,3419.0
Political Science and Public Administration,1998-2002,10030.0
Polymers,1998-2002,56442.0
Probability & Statistics,1998-2002,21448.0
Psychiatry,1998-2002,33254.0
Psychoanalysis,1998-2002,2635.0
Public Health,1998-2002,15260.0
Radiology & Nuclear Medicine,1998-2002,51817.0
Rehabilitation,1998-2002,8194.0
Religion,1998-2002,6337.0
Respiratory System,1998-2002,18306.0
Science studies,1998-2002,3537.0
Social Psychology,1998-2002,9661.0
"Social Sciences, Biomedical",1998-2002,3535.0
Social Studies of Medicine,1998-2002,411.0
Social Work,1998-2002,4187.0
Sociology,1998-2002,10913.0
Solid State Physics,1998-2002,69750.0
Speech-Language Pathology and Audiology,1998-2002,3356.0
Surgery,1998-2002,66441.0
Tropical Medicine,1998-2002,8058.0
Urology,1998-2002,22055.0
Veterinary Medicine,1998-2002,50130.0
Virology,1998-2002,21781.0
Acoustics,2003-2007,15159.0
Addictive Diseases,2003-2007,11025.0
Aerospace Technology,2003-2007,14123.0
Agricult & Food Science,2003-2007,105443.0
Allergy,2003-2007,8202.0
Analytical Chemistry,2003-2007,66492.0
Anatomy & Morphology,2003-2007,4200.0
Anesthesiology,2003-2007,16863.0
Anthropology and Archaeology,2003-2007,12310.0
Applied Chemistry,2003-2007,12850.0
Applied Mathematics,2003-2007,59872.0
Applied Physics,2003-2007,161603.0
Area Studies,2003-2007,7221.0
Arthritis & Rheumatology,2003-2007,21044.0
Astronomy & Astrophysics,2003-2007,87973.0
Behavioral Science & Complementary Psychology,2003-2007,15115.0
Biochemistry & Molecular Biology,2003-2007,230870.0
Biomedical Engineering,2003-2007,32110.0
Biophysics,2003-2007,13468.0
Botany,2003-2007,104250.0
Cancer,2003-2007,117043.0
Cardiovascular System,2003-2007,80006.0
Cellular Biology Cytology & Histology,2003-2007,50115.0
Chemical Engineering,2003-2007,61017.0
Chemical Physics,2003-2007,63139.0
Civil Engineering,2003-2007,22130.0
Clinical Psychology,2003-2007,13593.0
Communication,2003-2007,4200.0
Computers,2003-2007,171793.0
Criminology,2003-2007,4042.0
Dairy & Animal Science,2003-2007,22890.0
Demography,2003-2007,2819.0
Dentistry,2003-2007,30029.0
Dermatology & Venerial Disease,2003-2007,27257.0
Developmental & Child Psychology,2003-2007,12164.0
Earth & planetary Science,2003-2007,80381.0
Ecology,2003-2007,42894.0
Economics,2003-2007,49885.0
Education,2003-2007,21338.0
Electrical Engineering & Electronics,2003-2007,139393.0
Embryology,2003-2007,8162.0
Endocrinology,2003-2007,55632.0
Entomology,2003-2007,28284.0
Environmental & Occupational Health,2003-2007,25970.0
Environmental Science,2003-2007,85182.0
Experimental Psychology,2003-2007,16436.0
Fertility,2003-2007,13285.0
Fine Arts & Architecture,2003-2007,6199.0
Fluids & Plasmas,2003-2007,23703.0
Gastroenterology,2003-2007,46163.0
General & Internal Medicine,2003-2007,116710.0
General Biology,2003-2007,16224.0
General Biomedical Research,2003-2007,91076.0
General Chemistry,2003-2007,121218.0
General Engineering,2003-2007,3430.0
General Mathematics,2003-2007,89750.0
General Physics,2003-2007,231993.0
General Psychology,2003-2007,8009.0
General Social Sciences,2003-2007,8789.0
General Zoology,2003-2007,28554.0
Genetics & Heredity,2003-2007,86488.0
Geography,2003-2007,10627.0
Geology,2003-2007,60037.0
Geriatrics,2003-2007,7352.0
Geriatrics & Gerontology,2003-2007,7154.0
Health Policy & Services,2003-2007,16377.0
Hematology,2003-2007,37498.0
History,2003-2007,16753.0
Human Factors,2003-2007,4791.0
Immunology,2003-2007,110571.0
Industrial Engineering,2003-2007,8173.0
Information Science & Library Science,2003-2007,9490.0
Inorganic & Nuclear Chemistry,2003-2007,45878.0
International Relations,2003-2007,5248.0
Language & Linguistics,2003-2007,11431.0
Law,2003-2007,11778.0
Literature,2003-2007,19083.0
Management,2003-2007,49628.0
Marine Biology & Hydrobiology,2003-2007,52631.0
Materials Science,2003-2007,159867.0
Mechanical Engineering,2003-2007,62599.0
Metals & Metallurgy,2003-2007,59063.0
Meteorology & Atmospheric Science,2003-2007,29073.0
Microbiology,2003-2007,75466.0
Microscopy,2003-2007,3284.0
Miscellaneous Biology,2003-2007,19544.0
Miscellaneous Biomedical Research,2003-2007,16691.0
Miscellaneous Clinical Medicine,2003-2007,23554.0
Miscellaneous Engineering & Technology,2003-2007,20558.0
Miscellaneous Humanities,2003-2007,6199.0
Miscellaneous Mathematics,2003-2007,9428.0
Miscellaneous Physics,2003-2007,5020.0
Miscellaneous Professional Field,2003-2007,3491.0
Miscellaneous Psychology,2003-2007,17787.0
Miscellaneous Social Sciences,2003-2007,11075.0
Miscellaneous Zoology,2003-2007,10872.0
Nephrology,2003-2007,17952.0
Neurology & Neurosurgery,2003-2007,187980.0
Nuclear & Particle Physics,2003-2007,98011.0
Nuclear Technology,2003-2007,21096.0
Nursing,2003-2007,13551.0
Nutrition & Dietetic,2003-2007,25510.0
Obstetrics & Gynecology,2003-2007,28648.0
Oceanography & Limnology,2003-2007,23176.0
Operations Research,2003-2007,6810.0
Ophthalmology,2003-2007,33186.0
Optics,2003-2007,70221.0
Organic Chemistry,2003-2007,96064.0
Orthopedics,2003-2007,33030.0
Otorhinolaryngology,2003-2007,20630.0
Parasitology,2003-2007,13319.0
Pathology,2003-2007,24343.0
Pediatrics,2003-2007,31425.0
Performing Arts,2003-2007,4745.0
Pharmacology,2003-2007,136496.0
Pharmacy,2003-2007,11748.0
Philosophy,2003-2007,10063.0
Physical Chemistry,2003-2007,205465.0
Physiology,2003-2007,38225.0
Planning & Urban Studies,2003-2007,4628.0
Political Science and Public Administration,2003-2007,13077.0
Polymers,2003-2007,69185.0
Probability & Statistics,2003-2007,26910.0
Psychiatry,2003-2007,42973.0
Psychoanalysis,2003-2007,2465.0
Public Health,2003-2007,26635.0
Radiology & Nuclear Medicine,2003-2007,58916.0
Rehabilitation,2003-2007,11130.0
Religion,2003-2007,6272.0
Respiratory System,2003-2007,21897.0
Science studies,2003-2007,4310.0
Social Psychology,2003-2007,11750.0
"Social Sciences, Biomedical",2003-2007,5022.0
Social Studies of Medicine,2003-2007,578.0
Social Work,2003-2007,4863.0
Sociology,2003-2007,13077.0
Solid State Physics,2003-2007,75216.0
Speech-Language Pathology and Audiology,2003-2007,3903.0
Surgery,2003-2007,78779.0
Tropical Medicine,2003-2007,11257.0
Urology,2003-2007,31242.0
Veterinary Medicine,2003-2007,59421.0
Virology,2003-2007,26396.0
Acoustics,2008-2012,18056.0
Addictive Diseases,2008-2012,14810.0
Aerospace Technology,2008-2012,14092.0
Agricult & Food Science,2008-2012,161224.0
Allergy,2008-2012,9412.0
Analytical Chemistry,2008-2012,79257.0
Anatomy & Morphology,2008-2012,7378.0
Anesthesiology,2008-2012,17482.0
Anthropology and Archaeology,2008-2012,22258.0
Applied Chemistry,2008-2012,16005.0
Applied Mathematics,2008-2012,91267.0
Applied Physics,2008-2012,187659.0
Area Studies,2008-2012,12442.0
Arthritis & Rheumatology,2008-2012,31627.0
Astronomy & Astrophysics,2008-2012,116826.0
Behavioral Science & Complementary Psychology,2008-2012,19446.0
Biochemistry & Molecular Biology,2008-2012,250937.0
Biomedical Engineering,2008-2012,50087.0
Biophysics,2008-2012,15759.0
Botany,2008-2012,143176.0
Cancer,2008-2012,159973.0
Cardiovascular System,2008-2012,116217.0
Cellular Biology Cytology & Histology,2008-2012,64287.0
Chemical Engineering,2008-2012,92734.0
Chemical Physics,2008-2012,57747.0
Civil Engineering,2008-2012,36278.0
Clinical Psychology,2008-2012,20651.0
Communication,2008-2012,9252.0
Computers,2008-2012,130611.0
Criminology,2008-2012,7416.0
Dairy & Animal Science,2008-2012,28949.0
Demography,2008-2012,3958.0
Dentistry,2008-2012,45436.0
Dermatology & Venerial Disease,2008-2012,36841.0
Developmental & Child Psychology,2008-2012,19681.0
Earth & planetary Science,2008-2012,103118.0
Ecology,2008-2012,62140.0
Economics,2008-2012,88201.0
Education,2008-2012,45856.0
Electrical Engineering & Electronics,2008-2012,213240.0
Embryology,2008-2012,8563.0
Endocrinology,2008-2012,70122.0
Entomology,2008-2012,35054.0
Environmental & Occupational Health,2008-2012,37732.0
Environmental Science,2008-2012,144704.0
Experimental Psychology,2008-2012,25191.0
Fertility,2008-2012,16129.0
Fine Arts & Architecture,2008-2012,10900.0
Fluids & Plasmas,2008-2012,32185.0
Gastroenterology,2008-2012,57649.0
General & Internal Medicine,2008-2012,172325.0
General Biology,2008-2012,20519.0
General Biomedical Research,2008-2012,202266.0
General Chemistry,2008-2012,177039.0
General Engineering,2008-2012,5662.0
General Mathematics,2008-2012,133275.0
General Physics,2008-2012,252105.0
General Psychology,2008-2012,14862.0
General Social Sciences,2008-2012,15270.0
General Zoology,2008-2012,47885.0
Genetics & Heredity,2008-2012,113517.0
Geography,2008-2012,18456.0
Geology,2008-2012,84608.0
Geriatrics,2008-2012,9114.0
Geriatrics & Gerontology,2008-2012,11645.0
Health Policy & Services,2008-2012,31708.0
Hematology,2008-2012,46013.0
History,2008-2012,28379.0
Human Factors,2008-2012,8097.0
Immunology,2008-2012,131279.0
Industrial Engineering,2008-2012,12910.0
Information Science & Library Science,2008-2012,14797.0
Inorganic & Nuclear Chemistry,2008-2012,55332.0
International Relations,2008-2012,8235.0
Language & Linguistics,2008-2012,20934.0
Law,2008-2012,18309.0
Literature,2008-2012,25339.0
Management,2008-2012,95986.0
Marine Biology & Hydrobiology,2008-2012,62938.0
Materials Science,2008-2012,247455.0
Mechanical Engineering,2008-2012,87871.0
Metals & Metallurgy,2008-2012,78863.0
Meteorology & Atmospheric Science,2008-2012,45254.0
Microbiology,2008-2012,108147.0
Microscopy,2008-2012,5370.0
Miscellaneous Biology,2008-2012,24047.0
Miscellaneous Biomedical Research,2008-2012,21897.0
Miscellaneous Clinical Medicine,2008-2012,38455.0
Miscellaneous Engineering & Technology,2008-2012,51140.0
Miscellaneous Humanities,2008-2012,13259.0
Miscellaneous Mathematics,2008-2012,13112.0
Miscellaneous Physics,2008-2012,5792.0
Miscellaneous Professional Field,2008-2012,8836.0
Miscellaneous Psychology,2008-2012,25109.0
Miscellaneous Social Sciences,2008-2012,16742.0
Miscellaneous Zoology,2008-2012,11988.0
Nephrology,2008-2012,17615.0
Neurology & Neurosurgery,2008-2012,242492.0
Nuclear & Particle Physics,2008-2012,109623.0
Nuclear Technology,2008-2012,28309.0
Nursing,2008-2012,30994.0
Nutrition & Dietetic,2008-2012,36016.0
Obstetrics & Gynecology,2008-2012,40579.0
Oceanography & Limnology,2008-2012,32891.0
Operations Research,2008-2012,10776.0
Ophthalmology,2008-2012,43175.0
Optics,2008-2012,100474.0
Organic Chemistry,2008-2012,104580.0
Orthopedics,2008-2012,45218.0
Otorhinolaryngology,2008-2012,27000.0
Parasitology,2008-2012,20714.0
Pathology,2008-2012,32718.0
Pediatrics,2008-2012,44550.0
Performing Arts,2008-2012,7334.0
Pharmacology,2008-2012,192992.0
Pharmacy,2008-2012,16212.0
Philosophy,2008-2012,18116.0
Physical Chemistry,2008-2012,254553.0
Physiology,2008-2012,38763.0
Planning & Urban Studies,2008-2012,8171.0
Political Science and Public Administration,2008-2012,23573.0
Polymers,2008-2012,78639.0
Probability & Statistics,2008-2012,41032.0
Psychiatry,2008-2012,60523.0
Psychoanalysis,2008-2012,2906.0
Public Health,2008-2012,57633.0
Radiology & Nuclear Medicine,2008-2012,78864.0
Rehabilitation,2008-2012,21435.0
Religion,2008-2012,11172.0
Respiratory System,2008-2012,29252.0
Science studies,2008-2012,7825.0
Social Psychology,2008-2012,17145.0
"Social Sciences, Biomedical",2008-2012,6399.0
Social Studies of Medicine,2008-2012,467.0
Social Work,2008-2012,8751.0
Sociology,2008-2012,19578.0
Solid State Physics,2008-2012,79315.0
Speech-Language Pathology and Audiology,2008-2012,5348.0
Surgery,2008-2012,112856.0
Tropical Medicine,2008-2012,22287.0
Urology,2008-2012,44328.0
Veterinary Medicine,2008-2012,78307.0
Virology,2008-2012,32958.0
Acoustics,2013-2017,20138.0
Addictive Diseases,2013-2017,19194.0
Aerospace Technology,2013-2017,19390.0
Agricult & Food Science,2013-2017,204978.0
Allergy,2013-2017,11577.0
Analytical Chemistry,2013-2017,91092.0
Anatomy & Morphology,2013-2017,9070.0
Anesthesiology,2013-2017,18829.0
Anthropology and Archaeology,2013-2017,25824.0
Applied Chemistry,2013-2017,19303.0
Applied Mathematics,2013-2017,119399.0
Applied Physics,2013-2017,188497.0
Area Studies,2013-2017,15283.0
Arthritis & Rheumatology,2013-2017,36324.0
Astronomy & Astrophysics,2013-2017,151378.0
Behavioral Science & Complementary Psychology,2013-2017,22028.0
Biochemistry & Molecular Biology,2013-2017,264042.0
Biomedical Engineering,2013-2017,67638.0
Biophysics,2013-2017,15805.0
Botany,2013-2017,184367.0
Cancer,2013-2017,232687.0
Cardiovascular System,2013-2017,145792.0
Cellular Biology Cytology & Histology,2013-2017,85172.0
Chemical Engineering,2013-2017,150476.0
Chemical Physics,2013-2017,65032.0
Civil Engineering,2013-2017,58403.0
Clinical Psychology,2013-2017,27966.0
Communication,2013-2017,13498.0
Computers,2013-2017,192955.0
Criminology,2013-2017,9520.0
Dairy & Animal Science,2013-2017,35353.0
Demography,2013-2017,5793.0
Dentistry,2013-2017,53582.0
Dermatology & Venerial Disease,2013-2017,40864.0
Developmental & Child Psychology,2013-2017,26535.0
Earth & planetary Science,2013-2017,131447.0
Ecology,2013-2017,84403.0
Economics,2013-2017,111367.0
Education,2013-2017,60033.0
Electrical Engineering & Electronics,2013-2017,314627.0
Embryology,2013-2017,7877.0
Endocrinology,2013-2017,83731.0
Entomology,2013-2017,39019.0
Environmental & Occupational Health,2013-2017,48482.0
Environmental Science,2013-2017,248143.0
Experimental Psychology,2013-2017,30544.0
Fertility,2013-2017,14253.0
Fine Arts & Architecture,2013-2017,14587.0
Fluids & Plasmas,2013-2017,46127.0
Gastroenterology,2013-2017,66806.0
General & Internal Medicine,2013-2017,246786.0
General Biology,2013-2017,24622.0
General Biomedical Research,2013-2017,482875.0
General Chemistry,2013-2017,264772.0
General Engineering,2013-2017,9231.0
General Mathematics,2013-2017,160015.0
General Physics,2013-2017,247401.0
General Psychology,2013-2017,26596.0
General Social Sciences,2013-2017,19924.0
General Zoology,2013-2017,61423.0
Genetics & Heredity,2013-2017,138833.0
Geography,2013-2017,24643.0
Geology,2013-2017,119310.0
Geriatrics,2013-2017,12825.0
Geriatrics & Gerontology,2013-2017,17503.0
Health Policy & Services,2013-2017,48325.0
Hematology,2013-2017,49774.0
History,2013-2017,34194.0
Human Factors,2013-2017,13850.0
Immunology,2013-2017,153765.0
Industrial Engineering,2013-2017,23319.0
Information Science & Library Science,2013-2017,19713.0
Inorganic & Nuclear Chemistry,2013-2017,62088.0
International Relations,2013-2017,10006.0
Language & Linguistics,2013-2017,24689.0
Law,2013-2017,22350.0
Literature,2013-2017,29215.0
Management,2013-2017,120819.0
Marine Biology & Hydrobiology,2013-2017,72244.0
Materials Science,2013-2017,442127.0
Mechanical Engineering,2013-2017,130532.0
Metals & Metallurgy,2013-2017,93963.0
Meteorology & Atmospheric Science,2013-2017,65807.0
Microbiology,2013-2017,120265.0
Microscopy,2013-2017,5046.0
Miscellaneous Biology,2013-2017,27679.0
Miscellaneous Biomedical Research,2013-2017,25448.0
Miscellaneous Clinical Medicine,2013-2017,55087.0
Miscellaneous Engineering & Technology,2013-2017,106530.0
Miscellaneous Humanities,2013-2017,16817.0
Miscellaneous Mathematics,2013-2017,13741.0
Miscellaneous Physics,2013-2017,8211.0
Miscellaneous Professional Field,2013-2017,16796.0
Miscellaneous Psychology,2013-2017,31458.0
Miscellaneous Social Sciences,2013-2017,24662.0
Miscellaneous Zoology,2013-2017,13109.0
Nephrology,2013-2017,16166.0
Neurology & Neurosurgery,2013-2017,299866.0
Nuclear & Particle Physics,2013-2017,150033.0
Nuclear Technology,2013-2017,32543.0
Nursing,2013-2017,41731.0
Nutrition & Dietetic,2013-2017,45924.0
Obstetrics & Gynecology,2013-2017,45902.0
Oceanography & Limnology,2013-2017,45073.0
Operations Research,2013-2017,14863.0
Ophthalmology,2013-2017,50257.0
Optics,2013-2017,131800.0
Organic Chemistry,2013-2017,111457.0
Orthopedics,2013-2017,56508.0
Otorhinolaryngology,2013-2017,32301.0
Parasitology,2013-2017,26995.0
Pathology,2013-2017,43884.0
Pediatrics,2013-2017,52234.0
Performing Arts,2013-2017,8899.0
Pharmacology,2013-2017,238753.0
Pharmacy,2013-2017,18831.0
Philosophy,2013-2017,23021.0
Physical Chemistry,2013-2017,296065.0
Physiology,2013-2017,40838.0
Planning & Urban Studies,2013-2017,13018.0
Political Science and Public Administration,2013-2017,30804.0
Polymers,2013-2017,91727.0
Probability & Statistics,2013-2017,48726.0
Psychiatry,2013-2017,82749.0
Psychoanalysis,2013-2017,3046.0
Public Health,2013-2017,89368.0
Radiology & Nuclear Medicine,2013-2017,95362.0
Rehabilitation,2013-2017,29565.0
Religion,2013-2017,13905.0
Respiratory System,2013-2017,40806.0
Science studies,2013-2017,10353.0
Social Psychology,2013-2017,19224.0
"Social Sciences, Biomedical",2013-2017,8400.0
Social Studies of Medicine,2013-2017,489.0
Social Work,2013-2017,12041.0
Sociology,2013-2017,23946.0
Solid State Physics,2013-2017,76838.0
Speech-Language Pathology and Audiology,2013-2017,6187.0
Surgery,2013-2017,133002.0
Tropical Medicine,2013-2017,30542.0
Urology,2013-2017,48803.0
Veterinary Medicine,2013-2017,75527.0
Virology,2013-2017,35954.0
