discipline,Time_Interval,Papers
Acoustics,1978-1982,6325.0
Addictive Diseases,1978-1982,3618.0
Aerospace Technology,1978-1982,5400.0
Agricult & Food Science,1978-1982,66039.0
Allergy,1978-1982,2599.0
Analytical Chemistry,1978-1982,32857.0
Anatomy & Morphology,1978-1982,4025.0
Anesthesiology,1978-1982,6512.0
Anthropology and Archaeology,1978-1982,6500.0
Applied Chemistry,1978-1982,9117.0
Applied Mathematics,1978-1982,8820.0
Applied Physics,1978-1982,57883.0
Area Studies,1978-1982,6110.0
Arthritis & Rheumatology,1978-1982,4969.0
Astronomy & Astrophysics,1978-1982,22173.0
Behavioral Science & Complementary Psychology,1978-1982,7951.0
Biochemistry & Molecular Biology,1978-1982,105998.0
Biomedical Engineering,1978-1982,6292.0
Biophysics,1978-1982,5221.0
Botany,1978-1982,55194.0
Cancer,1978-1982,28779.0
Cardiovascular System,1978-1982,22743.0
Cellular Biology Cytology & Histology,1978-1982,23113.0
Chemical Engineering,1978-1982,20673.0
Chemical Physics,1978-1982,29881.0
Civil Engineering,1978-1982,8730.0
Clinical Psychology,1978-1982,6815.0
Communication,1978-1982,2123.0
Computers,1978-1982,13193.0
Criminology,1978-1982,2351.0
Dairy & Animal Science,1978-1982,14818.0
Demography,1978-1982,1898.0
Dentistry,1978-1982,12868.0
Dermatology & Venerial Disease,1978-1982,13547.0
Developmental & Child Psychology,1978-1982,5960.0
Earth & planetary Science,1978-1982,28066.0
Ecology,1978-1982,13038.0
Economics,1978-1982,20517.0
Education,1978-1982,18588.0
Electrical Engineering & Electronics,1978-1982,42673.0
Embryology,1978-1982,2851.0
Endocrinology,1978-1982,21100.0
Entomology,1978-1982,16763.0
Environmental & Occupational Health,1978-1982,9059.0
Environmental Science,1978-1982,17178.0
Experimental Psychology,1978-1982,8507.0
Fertility,1978-1982,6479.0
Fine Arts & Architecture,1978-1982,5504.0
Fluids & Plasmas,1978-1982,5202.0
Gastroenterology,1978-1982,10893.0
General & Internal Medicine,1978-1982,128781.0
General Biology,1978-1982,4471.0
General Biomedical Research,1978-1982,71043.0
General Chemistry,1978-1982,79267.0
General Engineering,1978-1982,3926.0
General Mathematics,1978-1982,35792.0
General Physics,1978-1982,80788.0
General Psychology,1978-1982,6686.0
General Social Sciences,1978-1982,8627.0
General Zoology,1978-1982,12517.0
Genetics & Heredity,1978-1982,21389.0
Geography,1978-1982,4936.0
Geology,1978-1982,15124.0
Geriatrics,1978-1982,3524.0
Geriatrics & Gerontology,1978-1982,1685.0
Health Policy & Services,1978-1982,3243.0
